array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
770,10,3pl3:Bayes:DEC:Bayes,1673,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1674,15,15,2,1Y,2,2,1Y,1,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1675,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1676,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1677,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1678,18,18,1,1Y,2,1,1Y,1,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1679,21,21,3,1Y,2,3,1Y,0,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1680,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1681,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1682,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1683,12,12,2,1Y,2,0,1EN,0,2,0.0142857142857143,6
770,10,3pl3:Bayes:DEC:Bayes,1684,15,15,3,1Y,2,3,1Y,0,2,0.442857142857143,6
770,10,3pl3:Bayes:DEC:Bayes,1685,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1686,15,15,3,1Y,2,3,1Y,0,2,0.442857142857143,6
770,10,3pl3:Bayes:DEC:Bayes,1687,18,18,3,1Y,2,3,1Y,0,2,0.157142857142857,6
770,10,3pl3:Bayes:DEC:Bayes,1688,9,9,1,1Y,2,1,1Y,1,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1689,15,15,2,1Y,2,2,1Y,1,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1690,15,15,2,1Y,2,2,1Y,1,2,0.157142857142857,6
770,10,3pl3:Bayes:DEC:Bayes,1691,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:Bayes:DEC:Bayes,1692,15,15,2,1Y,2,2,1Y,1,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1693,12,12,1,1Y,2,1,1Y,1,2,0.3,6
770,10,3pl3:Bayes:DEC:Bayes,1694,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1673,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1674,15,15,2,1Y,2,2,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1675,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1676,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1677,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1678,18,18,1,1Y,2,1,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1679,21,21,3,1Y,2,3,1Y,0,2,NA,6
770,10,3pl3:none:DEC:Bayes,1680,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1681,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1682,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1683,12,12,2,1Y,2,2,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1684,15,15,3,1Y,2,3,1Y,0,2,NA,6
770,10,3pl3:none:DEC:Bayes,1685,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1686,15,15,3,1Y,2,3,1Y,0,2,NA,6
770,10,3pl3:none:DEC:Bayes,1687,18,18,3,1Y,2,3,1Y,0,2,NA,6
770,10,3pl3:none:DEC:Bayes,1688,9,9,1,1Y,2,1,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1689,15,15,2,1Y,2,2,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1690,15,15,2,1Y,2,2,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1691,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:Bayes,1692,15,15,2,1Y,2,2,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1693,12,12,1,1Y,2,1,1Y,1,2,NA,6
770,10,3pl3:none:DEC:Bayes,1694,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:BIsoReg,1673,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:BIsoReg,1674,15,15,2,1Y,2,2,1Y,1,2,NA,6
770,10,3pl3:none:DEC:BIsoReg,1675,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:BIsoReg,1676,3,3,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:BIsoReg,1677,6,6,0,1N,2,0,1TN,0,2,NA,0
770,10,3pl3:none:DEC:BIsoReg,1678,18,18,1,1Y,2,1,1Y,1,2,NA,6
770,10,3pl3:none:DEC:BIsoReg,1679,21,21,3,1Y,2,3,1Y,0,2,NA,6
